aoi,cache,whittle,V,policy
0,0,9.999696750193834,0.0,1
0,1,-0.00037252530455589294,-9.999999999999995,0
1,0,1.0494037829339504,-9.999999999999995,1
1,1,1.0002304427325726,-9.999999999999995,1
2,0,-1.4778078831732273,-12.799999999999995,1
2,1,2.000088360160589,-9.999999999999995,1
3,0,-3.0394339598715305,-14.699999999999996,1
3,1,2.9977111257612705,-9.999999999999995,1
4,0,-2.2884229458868504,-13.999999999999995,0
4,1,3.9998041950166225,-9.999999999999995,1
5,0,-3.4983851350843906,-14.999999999999995,0
5,1,-0.00037252530455589294,-9.999999999999995,1
6,0,-4.39915132150054,-15.999999999999995,0
6,1,-0.00037252530455589294,-9.999999999999995,1
7,0,-5.299917507916689,-16.999999999999993,0
7,1,-0.00037252530455589294,-9.999999999999995,1
8,0,0.28796206042170525,-24.199999999999996,1
8,1,7.997745763510466,-9.999999999999995,1
9,0,-12.772775117307901,-26.099999999999994,1
9,1,-0.00037252530455589294,-9.999999999999995,1
10,0,-14.971419464796782,-29.899999999999995,0
10,1,9.190571788698435,-9.999999999999995,1
11,0,-8.3918775357306,-29.899999999999995,1
11,1,-0.00037252530455589294,-9.999999999999995,1
12,0,3.099783059209585,-40.61999999999999,1
12,1,-0.00037252530455589294,-9.999999999999995,1
13,0,-36.71572149172425,-51.997,1
13,1,-0.00037252530455589294,-22.999999999999993,0
14,0,-38.55972174927592,-55.436,1
14,1,-0.00037252530455589294,-9.999999999999995,1
15,0,1.90025157853961,-24.999999999999993,0
15,1,28.14987463876605,-9.999999999999995,1
16,0,30.19354845955968,-25.999999999999993,0
16,1,-0.00037252530455589294,-25.999999999999993,0
17,0,32.632099103182554,-55.879999999999995,1
17,1,-0.00037252530455589294,-58.589999999999996,0
18,0,-9.431223135441542,-58.589999999999996,1
18,1,-0.00037252530455589294,-91.0432,0
19,0,16.48089199885726,-46.99999999999999,0
19,1,-0.00037252530455589294,-46.99999999999999,0
20,0,21.1866316460073,-46.99999999999999,1
20,1,-0.00037252530455589294,-113.99565,0
21,0,3.438036035746336,-69.43,0
21,1,-0.00037252530455589294,-69.43,0
22,0,-52.26865295693278,-69.43,1
22,1,-0.00037252530455589294,-72.13999999999999,0
23,0,2.599854100495577,-54.599999999999994,0
23,1,6.331812601536512,-9.999999999999995,1
24,0,24.093819122761488,-54.599999999999994,1
24,1,-0.00037252530455589294,-56.49999999999999,0
25,0,-17.450202841311693,-56.49999999999999,1
25,1,-0.00037252530455589294,-80.27,0
26,0,100.27896915748715,-35.99999999999999,0
26,1,-0.00037252530455589294,-35.99999999999999,0
27,0,29.940231252461672,-81.27,1
27,1,-0.00037252530455589294,-146.79478,0
28,0,131.67763697728515,-103.582,1
28,1,-0.00037252530455589294,-151.48037,0
